STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME
187,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_00019_6-20-2019.JPG,12.0,White-tailed deer
188,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09_190228\RCW-RCW09_00531_2-13-2019.JPG,9.0,Humans
189,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_00762_1-30-2019.JPG,17.0,Raccoon
190,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_03_190312\CSE-COSE03_06245_3-11-2019.JPG,0.0,None
191,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.3_190402\CNE-CONE05.3_00231_3-19-2019.JPG,15.0,Rabbit
192,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00867_7-21-2019.JPG,33.0,Turkey
193,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_01_190301\BEM-BVEM01_13696_1-22-2019.JPG,0.0,None
194,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01307_8-11-2019.JPG,26.0,Armadillo
195,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_02_190910_Cam39\BVS-BVS02_00088_9-3-2019.JPG,7.0,Coyote
196,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190911\CSE-COSE0.8_00171_9-1-2019.JPG,26.0,Armadillo
197,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0670_190827\CLE-COLE0670_00275_8-21-2019.JPG,27.0,Opossum
198,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190228_Cam77\RCW-RCW07.1_00492_2-23-2019.JPG,18.0,Unknown
199,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_07_190522\CLE-COLE07_00227_4-11-2019.JPG,10.0,Birds
200,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00225_2-20-2019.JPG,29.0,Skunk
201,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_3_190613\BSM-BVSM3_00088_5-28-2019.JPG,13.0,Nilgai
202,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_01325_8-22-2019.JPG,17.0,Raccoon
203,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_01_190301_Cam72\BVS-BVS01_00201_2-22-2019.JPG,18.0,Unknown
204,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00449_2-17-2019.JPG,19.0,Ocelot
205,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_07_190211\CLE-COLE07_00850_1-23-2019.JPG,10.0,Birds
206,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190603\CN-CON03_00252_5-23-2019.JPG,10.0,Birds
207,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00282_8-3-2019.JPG,32.0,Tortoise/Turtle
208,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_7.2_190212\RCW-RCW07.2_02332_2-3-2019.JPG,12.0,White-tailed deer
209,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190924\CNC-CONC65.5_00204_9-15-2019.JPG,18.0,Unknown
210,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00218_2-20-2019.JPG,29.0,Skunk
211,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.5_190507\RCW-RCW02.5_02409_4-22-2019.JPG,28.0,Spider
212,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_Cam115_190813\BEM-BVEM02_00085_8-5-2019.JPG,6.0,Cattle
213,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190603\CNW-CONW03_08064_5-23-2019.JPG,0.0,None
214,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00145_2-11-2019.JPG,24.0,Horse
215,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190212\RCW-RCW07.1_02176_2-27-2019.JPG,21.0,Mouse
216,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_02603_7-27-2019.JPG,27.0,Opossum
217,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190522\CNC-CONC11_01272_5-16-2019.JPG,29.0,Skunk
218,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190123\CNE-CONE05.35_00445_1-22-2019.JPG,12.0,White-tailed deer
219,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_03_190211\CSE-COSE03_02651_1-18-2019.JPG,22.0,Rat
220,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_00610_1-23-2019.JPG,17.0,Raccoon
221,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190812\CT-CT06_01083_8-6-2019.JPG,17.0,Raccoon
222,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190812\CSE-COSE0.8_00344_8-9-2019.JPG,32.0,Tortoise/Turtle
223,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_17_190429\CSE-COSE17_00576_4-8-2019.JPG,12.0,White-tailed deer
224,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_06619_1-12-2019.JPG,11.0,"Exotics, other"
225,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00729_7-19-2019.JPG,33.0,Turkey
226,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_190301\BEM-BVEM02_00452_2-2-2019.JPG,26.0,Armadillo
227,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190402\CN-CON03_01086_3-16-2019.JPG,6.0,Cattle
228,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00855_6-18-2019.JPG,8.0,Bobcat
229,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_02008_2-16-2019.JPG,29.0,Skunk
230,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00828_7-19-2019.JPG,33.0,Turkey
231,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_00953_7-8-2019.JPG,26.0,Armadillo
232,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00622_2-26-2019.JPG,8.0,Bobcat
233,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_16_190522\CSE-COSE16_00269_5-2-2019.JPG,13.0,Nilgai
234,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190522\CN-CON04_08323_5-22-2019.JPG,10.0,Birds
235,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190812\CNW-CONW03_00482_8-4-2019.JPG,26.0,Armadillo
236,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_07459_8-19-2019.JPG,18.0,Unknown
237,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_03405_3-29-2019.JPG,17.0,Raccoon
238,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_05482_12-31-2018.JPG,17.0,Raccoon
239,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_06_190405\BSE-BVSE06_00098_3-21-2019.JPG,28.0,Spider
240,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190521\CNE-CONE05.35_00289_5-7-2019.JPG,26.0,Armadillo
241,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190827\CSC-CSC12_00571_8-22-2019.JPG,33.0,Turkey
242,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_11_190211\CSE-COSE11_01038_1-28-2019.JPG,13.0,Nilgai
243,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_01_190227\CNC-CONC01_00298_2-22-2019.JPG,9.0,Humans
244,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_0.55_190402\CNC-CONC0.55_00666_3-29-2019.JPG,6.0,Cattle
245,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190827\CSC-CSC12_00780_8-25-2019.JPG,33.0,Turkey
246,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_02752_7-27-2019.JPG,15.0,Rabbit
247,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190424\BSW-BVSW12_00181_4-14-2019.JPG,19.0,Ocelot
248,BV Troughs,F:\Nilgai_photo_database\BV\BVT\BV_T_03_190924\BVT-BVT03_01243_9-16-2019.JPG,12.0,White-tailed deer
249,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00718_7-19-2019.JPG,33.0,Turkey
250,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_07_190211\CLE-COLE07_01060_1-24-2019.JPG,10.0,Birds
251,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_01450_7-19-2019.JPG,27.0,Opossum
252,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190827\CNW-CONW03_00691_8-16-2019.JPG,17.0,Raccoon
253,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190924\CNW-CONW03_00930_9-12-2019.JPG,0.0,None
254,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_03979_12-18-2018.JPG,15.0,Rabbit
255,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190123\CNE-CONE05.35_00472_1-22-2019.JPG,7.0,Coyote
256,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam77\RCW-RCW07.1_00080_3-3-2019.JPG,21.0,Mouse
257,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_02_190207_Cam39\BVS-BVS02_00477_1-28-2019.JPG,6.0,Cattle
258,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_01_190301\RUE-RUE01_00135_2-9-2019.JPG,24.0,Horse
259,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190212_Cam77\RCW-RCW07.1_00703_1-22-2019.JPG,13.0,Nilgai
260,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190403\RCW-RCW17_00773_3-14-2019.JPG,31.0,Squirrel
261,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_3_190125\BSM-BVSM3_00104_1-7-2019.JPG,10.0,Birds
262,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_05_190404\BVS-BVS05_00120_3-19-2019.JPG,9.0,Humans
263,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00638_2-26-2019.JPG,19.0,Ocelot
264,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190812\CSE-COSE0.8_00372_8-11-2019.JPG,26.0,Armadillo
265,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06361_8-15-2019.JPG,32.0,Tortoise/Turtle
266,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190207_Cam129\RCNX1994.JPG,24.0,Horse
267,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190211\CNC-CONC11_00477_1-28-2019.JPG,6.0,Cattle
268,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190911\CSE-COSE0.8_00218_9-3-2019.JPG,26.0,Armadillo
269,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_08_190306\BSW-BVSW08_00696_3-6-2019.JPG,9.0,Humans
270,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02_190228\RCW-RCW02_00148_1-14-2019.JPG,5.0,Pig
271,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01326_8-11-2019.JPG,26.0,Armadillo
272,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190619\CT-CT04_00971_6-10-2019.JPG,9.0,Humans
273,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04826_12-27-2018.JPG,11.0,"Exotics, other"
274,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_02_190424\RUE-RUE02_00844_4-19-2019.JPG,22.0,Rat
275,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190911\CSE-COSE0.6_00484_8-31-2019.JPG,26.0,Armadillo
276,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_03555_12-14-2018.JPG,11.0,"Exotics, other"
277,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00705_6-13-2019.JPG,25.0,Dog
278,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190827\CLE-COLE12_01644_8-21-2019.JPG,21.0,Mouse
279,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_06041_1-6-2019.JPG,11.0,"Exotics, other"
280,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190812\CNE-CONE05.35_00199_7-30-2019.JPG,7.0,Coyote
281,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190924\CNE-CONE05.35_00052_9-11-2019.JPG,7.0,Coyote
282,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_06_190405\BSE-BVSE06_00102_3-21-2019.JPG,28.0,Spider
283,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190507\RCNX7275.JPG,22.0,Rat
284,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_08.1_190620\CNC-CONC08.1_00621_6-19-2019.JPG,9.0,Humans
285,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_01_190211\CSE-COSE01_00151_1-15-2019.JPG,13.0,Nilgai
286,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_02030_2-24-2019.JPG,21.0,Mouse
287,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_01508_2-3-2019.JPG,17.0,Raccoon
288,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_03063_12-30-2018.JPG,5.0,Pig
289,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_01_190301\BSW-BVSW01_00914_2-15-2018.JPG,9.0,Humans
290,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190911\CN-CON03_00221_9-1-2019.JPG,21.0,Mouse
291,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_01_190403\RCW-RCW01_00588_4-2-2019.JPG,18.0,Unknown
292,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00637_2-26-2019.JPG,19.0,Ocelot
293,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190619\CNE-CONE05.35_00038_6-4-2019.JPG,26.0,Armadillo
294,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_01773_7-13-2019.JPG,5.0,Pig
295,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_21_190204\RCW-RCW21_01518_1-27-2019.JPG,12.0,White-tailed deer
296,BV Troughs,F:\Nilgai_photo_database\BV\BVT\BV_T_04_190827\BVT-BVT04_10117_8-19-2019.JPG,7.0,Coyote
297,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_01_190730\BVE-BVE01_00214_6-8-2019.JPG,6.0,Cattle
298,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04841_12-27-2018.JPG,11.0,"Exotics, other"
299,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00544_8-12-2019.JPG,15.0,Rabbit
300,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190827\CT-CT04_10613_8-27-2019.JPG,12.0,White-tailed deer
301,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190812\CNW-CONW03_00343_8-3-2019.JPG,26.0,Armadillo
302,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_06_190301\BVS-BVS06_00411_2-28-2019.JPG,6.0,Cattle
303,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190211_Cam149\CLE-COLE11_00689_2-6-2019.JPG,7.0,Coyote
304,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_05_190124\RUS-RUS05_00499_1-22-2019.JPG,13.0,Nilgai
305,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00589_6-13-2019.JPG,25.0,Dog
306,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190424\BSW-BVSW12_00073_4-8-2019.JPG,19.0,Ocelot
307,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190827\CT-CT04_01176_8-13-2019.JPG,10.0,Birds
308,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_01_190813\BVH-BVH01_00104_7-31-2019.JPG,6.0,Cattle
309,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.1_190507_Cam84\RCW-RCW02.1_00958_5-1-2019.JPG,17.0,Raccoon
310,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190812\CSE-COSE0.8_00206_8-6-2019.JPG,27.0,Opossum
311,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190924\CNW-CONW03_00058_9-12-2019.JPG,21.0,Mouse
312,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190827\CNC-CONC11_07278_8-21-2019.JPG,9.0,Humans
313,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06367_8-15-2019.JPG,32.0,Tortoise/Turtle
314,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_04_190827\RUS-RUS04_01287_8-22-2019.JPG,21.0,Mouse
315,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_02318_3-10-2019.JPG,18.0,Unknown
316,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_02728_12-27-2018.JPG,15.0,Rabbit
317,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190729\CSE-COSE0.8_00023_7-26-2019.JPG,26.0,Armadillo
318,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_222_190729\CLE-COLE222_01934_7-20-2019.JPG,0.0,None
319,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_06_190405\BSE-BVSE06_00135_3-21-2019.JPG,28.0,Spider
320,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_00439_2-14-2019.JPG,9.0,Humans
321,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190301_Cam33\RCW-RCW24_00212_2-10-2019.JPG,15.0,Rabbit
322,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00396_8-9-2019.JPG,15.0,Rabbit
323,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01300_7-27-2019.JPG,33.0,Turkey
324,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00886_7-23-2019.JPG,33.0,Turkey
325,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_01081_2-17-2019.JPG,22.0,Rat
326,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_02421_7-25-2019.JPG,27.0,Opossum
327,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190729\CLE-COLE12_00952_7-24-2019.JPG,11.0,"Exotics, other"
328,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_05_190812\CT-CT05_00767_7-31-2019.JPG,9.0,Humans
329,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_00951_1-24-2019.JPG,17.0,Raccoon
330,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190123\CNC-CONC65.5_05054_1-13-2019.JPG,10.0,Birds
331,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04976_12-28-2018.JPG,17.0,Raccoon
332,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_03_190301\BSE-BVSE03_01319_2-23-2019.JPG,6.0,Cattle
333,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_03_190730\BSE-BVSE03_01336_6-24-2018.JPG,8.0,Bobcat
334,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_06693_1-13-2019.JPG,11.0,"Exotics, other"
335,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_02_190301\BVH-BVH02_00418_2-17-2019.JPG,6.0,Cattle
336,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_00750_7-5-2019.JPG,5.0,Pig
337,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190912\CT-CT04_04660_8-30-2019.JPG,12.0,White-tailed deer
338,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00267_2-13-2019.JPG,5.0,Pig
339,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0668_190820\CLE-COLE0668_06352_8-15-2019.JPG,32.0,Tortoise/Turtle
340,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_01_190910\BVH-BVH01_00262_9-8-2019.JPG,6.0,Cattle
341,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190812\CT-CT04_01988_7-31-2019.JPG,12.0,White-tailed deer
342,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190227\CNE-CONE05.35_01034_2-15-2019.JPG,0.0,None
343,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_01_190403\RCW-RCW01_00233_3-22-2019.JPG,18.0,Unknown
344,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_1_190301\BSM-BVSM1_00270_2-25-2019.JPG,13.0,Nilgai
345,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04666_12-24-2018.JPG,11.0,"Exotics, other"
346,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01429_7-29-2019.JPG,33.0,Turkey
347,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0670_190827\CLE-COLE0670_00270_8-21-2019.JPG,27.0,Opossum
348,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_11_190827\CSC-CSC11_00258_8-20-2019.JPG,6.0,Cattle
349,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_03_190404\RUE-RUE03_01467_3-5-2019.JPG,15.0,Rabbit
350,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190911\CSE-COSE0.8_00028_8-27-2019.JPG,27.0,Opossum
351,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00571_6-13-2019.JPG,25.0,Dog
352,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190522\CN-CON03_00511_5-11-2019.JPG,6.0,Cattle
353,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190211_Cam149\CLE-COLE11_00305_2-1-2019.JPG,7.0,Coyote
354,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_01_190520_Cam169E\BVS-BVS01_00034_5-11-2019.JPG,15.0,Rabbit
355,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_03_190827\BEM-BVEM03_04580_8-26-2019.JPG,0.0,None
356,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190911\CSC-CSC12_01228_9-8-2019.JPG,33.0,Turkey
357,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190827\BSE-BVSE02_36819_8-22-2019.JPG,0.0,None
358,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_02322_1-27-2019.JPG,11.0,"Exotics, other"
359,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_02085_1-25-2019.JPG,11.0,"Exotics, other"
360,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_01978_2-24-2019.JPG,21.0,Mouse
361,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00335_8-1-2019.JPG,22.0,Rat
362,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_05_190124\RUS-RUS05_00025_1-12-2019.JPG,13.0,Nilgai
363,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_03_190730\BSE-BVSE03_01356_6-24-2018.JPG,8.0,Bobcat
364,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190521\CNC-CONC65.5_00400_5-2-2019.JPG,10.0,Birds
365,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_08_190301\BSW-BVSW08-Cam133_00211_2-9-2019.JPG,13.0,Nilgai
366,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_00263_1-20-2019.JPG,17.0,Raccoon
367,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_04.1_190301\BVE-BVE04.1_00494_2-19-2019.JPG,10.0,Birds
368,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190212\RCW-RCW17_00041_2-11-2019.JPG,8.0,Bobcat
369,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00719_7-19-2019.JPG,33.0,Turkey
370,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_00869_8-18-2019.JPG,8.0,Bobcat
371,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00584_8-5-2019.JPG,26.0,Armadillo
